x,y,y2,y3,y4,y5,,Range
1.03,0.9494949495,21.45454545,71.21212121,75.8989899,78.49494949,,77.54545455
2.02,10.29292929,21.19191919,74.22222222,75,78.5959596,,68.3030303
3.05,27.41414141,26.88888889,72.85858586,74.50505051,50.41666667,,47.61616162
4.02,53.62626263,51.61616162,51.93939394,73.14141414,69.34343434,,21.52525253
5.05,92.8989899,90.23232323,90.91919192,91.26262626,92.19191919,,2.666666667
6.04,143.4747475,141.2525253,142.1414141,143.2424242,144.4444444,,3.191919192
7.07,215.9090909,210.3636364,211.8484848,213.3585859,215.3131313,,5.545454545
8,289.6464646,282.5858586,283.9292929,287.5757576,290.1515152,,7.565656566
9.03,372.020202,368.4444444,366.6363636,372.2222222,372.1818182,,5.585858586
10.02,453.020202,448.6161616,447.5656566,455.3131313,454.5656566,,7.747474747
11.05,534.7575758,529.6666667,529.7070707,536.0909091,536.9090909,,7.242424242
12.02,604.7575758,596.010101,598.7373737,604.2626263,607.2323232,,11.22222222
13.05,671.4444444,661.1919192,661.4949495,668.3434343,671.6161616,,10.42424242
14.04,715.2222222,712.1414141,712.5050505,718.3232323,720.4141414,,8.272727273
15.07,760.1717172,755.2424242,758.4343434,760.1212121,763.1313131,,7.888888889
16.2,790.2626263,791.4343434,807.4747475,795.7171717,800.7070707,,17.21212121
17.23,817.7575758,818.2727273,823.7878788,822.2222222,822.3636364,,6.03030303
18.24,837.010101,837.7777778,840.6969697,840.7575758,842.2020202,,5.191919192
19.25,852.8787879,853.5858586,855.7676768,856.3535354,856.4343434,,3.555555556
20.22,864.4040404,864.8282828,866.6464646,867.7979798,867.7777778,,3.393939394